08-29 10:53:52:272    *þ
08-29 10:53:56:120    [Music] Paused at 6 s (+500 ms)
08-29 10:53:56:502    [Music] Playing: Default Song T - Demo Artist (pos=6 s, +500 ms,
08-29 10:53:56:505     vol=70%)
08-29 10:53:56:800    [Music] Paused at 6 s (+800 ms)
08-29 10:53:56:809    
08-29 10:53:57:177    [Music] Playing: Default Song T - Demo Artist (pos=6 s, +800 ms,
08-29 10:53:57:177     vol=70%)
08-29 10:53:57:497    [Music] Paused at 7 s (+100 ms)
08-29 10:53:57:497    
08-29 10:53:57:788    [Music] Playing: Default Song T - Demo Artist (pos=7 s, +100 ms,
08-29 10:53:57:788     vol=70%)
08-29 10:53:58:054    [Music] Paused at 7 s (+300 ms)
08-29 10:53:58:058    
08-29 10:53:58:274    [Music] Playing: Default Song T - Demo Artist (pos=7 s, +300 ms,
08-29 10:53:58:283     vol=70%)
08-29 10:53:58:479    [Music] Paused at 7 s (+500 ms)
08-29 10:53:58:490    
08-29 10:53:58:651    [Music] Playing: Default Song T - Demo Artist (pos=7 s, +500 ms,
08-29 10:53:58:667     vol=70%)
08-29 10:53:59:578    [Music] Paused at 8 s (+400 ms)
08-29 10:53:59:579    
08-29 10:53:59:842    [Music] Playing: Default Song T - Demo Artist (pos=8 s, +400 ms,
08-29 10:53:59:851     vol=70%)
08-29 10:54:00:438    [Music] Paused at 8 s (+900 ms)
08-29 10:54:00:438    
08-29 10:54:00:923    [Music] Playing: Default Song T - Demo Artist (pos=8 s, +900 ms,
08-29 10:54:00:923     vol=70%)
08-29 10:54:01:329    [Music] Paused at 9 s (+300 ms)
08-29 10:54:01:329    
08-29 10:54:02:018    [Music] Playing: Default Song T - Demo Artist (pos=9 s, +300 ms, vol=70%)
08-29 10:54:02:830    [Music] Paused at 10 s (+100 ms)
08-29 10:54:04:691    [Music] Playing: Default Song T - Demo Artist (pos=10 s, +100 ms
08-29 10:54:04:691    , vol=70%)
08-29 10:54:05:145    [Music] Paused at 10 s (+500 ms)
08-29 10:54:05:145    
08-29 10:54:05:505    [Music] Playing: Default Song T - Demo Artist (pos=10 s, +500 ms, vol=70%)
08-29 10:54:05:802    [Music] Paused at 10 s (+800 ms)
08-29 10:54:06:037    [Music] Playing: Default Song T - Demo Artist (pos=10 s, +800 ms
08-29 10:54:06:037    , vol=70%)
08-29 10:54:06:272    [Music] Paused at 11 s (+0 ms)
08-29 10:54:06:522    [Music] Playing: Default Song T - Demo Artist (pos=11 s, +0 ms, 
08-29 10:54:06:522    vol=70%)
08-29 10:54:06:773    [Music] Paused at 11 s (+200 ms)
08-29 10:54:07:101    [Music] Playing: Default Song T - Demo Artist (pos=11 s, +200 ms
08-29 10:54:07:101    , vol=70%)
08-29 10:54:07:320    [Music] Paused at 11 s (+400 ms)
08-29 10:54:07:320    
08-29 10:54:07:555    [Music] Playing: Default Song T - Demo Artist (pos=11 s, +400 ms
08-29 10:54:07:555    , vol=70%)
08-29 10:55:17:711 TX:pin status all
