09-02 17:55:33:807    þencoder1_count:2
09-02 17:55:33:812    encoder1_count:2
09-02 17:55:33:822    encoder1_count:2
09-02 17:55:33:839    encoder1_count:2
09-02 17:55:33:841    encoder1_count:2
09-02 17:55:33:854    encoder1_count:2
09-02 17:55:33:870    encoder1_count:2
09-02 17:55:33:872    encoder1_count:2
09-02 17:55:33:887    encoder1_count:2
09-02 17:55:33:903    encoder1_count:2
09-02 17:55:33:905    encoder1_count:2
09-02 17:55:33:918    encoder1_count:2
09-02 17:55:33:934    encoder1_count:2
09-02 17:55:33:936    encoder1_count:2
09-02 17:55:33:950    encoder1_count:2
09-02 17:55:33:966    encoder1_count:2
09-02 17:55:33:969    encoder1_count:2
09-02 17:55:33:982    encoder1_count:2
09-02 17:55:33:999    encoder1_count:2
09-02 17:55:34:001    encoder1_count:2
09-02 17:55:34:015    encoder1_count:2
09-02 17:55:34:031    encoder1_count:2
09-02 17:55:34:068    encoder1_count:2
09-02 17:55:34:068    encoder1_count:2
09-02 17:55:34:069    encoder1_count:2
09-02 17:55:34:069    encoder1_count:2
09-02 17:55:34:079    encoder1_count:2
09-02 17:55:34:095    encoder1_count:2
09-02 17:55:34:097    encoder1_count:2
09-02 17:55:34:110    encoder1_count:2
09-02 17:55:34:127    encoder1_count:2
09-02 17:55:34:129    encoder1_count:2
09-02 17:55:34:143    encoder1_count:2
09-02 17:55:34:159    encoder1_count:2
09-02 17:55:34:160    encoder1_count:2
09-02 17:55:34:174    encoder1_count:2
09-02 17:55:34:191    encoder1_count:2
09-02 17:55:34:193    encoder1_count:2
09-02 17:55:34:206    encoder1_count:2
09-02 17:55:34:223    encoder1_count:2
09-02 17:55:34:225    encoder1_count:2
09-02 17:55:34:239    encoder1_count:2
09-02 17:55:34:255    encoder1_count:2
09-02 17:55:34:256    encoder1_count:2
09-02 17:55:34:271    encoder1_count:2
09-02 17:55:34:286    encoder1_count:2
09-02 17:55:34:308    encoder1_count:2
09-02 17:55:34:308    encoder1_count:2
09-02 17:55:34:319    encoder1_count:2
09-02 17:55:34:321    encoder1_count:2
09-02 17:55:34:335    encoder1_count:2
09-02 17:55:34:350    encoder1_count:2
09-02 17:55:34:353    encoder1_count:2
09-02 17:55:34:367    encoder1_count:2
09-02 17:55:34:383    encoder1_count:2
09-02 17:55:34:385    encoder1_count:2
09-02 17:55:34:399    encoder1_count:2
09-02 17:55:34:415    encoder1_count:2
09-02 17:55:34:417    encoder1_count:2
09-02 17:55:34:431    encoder1_count:2
09-02 17:55:34:447    encoder1_count:2
09-02 17:55:34:449    encoder1_count:2
09-02 17:55:34:463    encoder1_count:2
09-02 17:55:34:479    encoder1_count:2
09-02 17:55:34:481    encoder1_count:2
09-02 17:55:34:495    encoder1_count:2
09-02 17:55:34:511    encoder1_count:2
09-02 17:55:34:513    encoder1_count:2
09-02 17:55:34:527    encoder1_count:2
09-02 17:55:34:551    encoder1_count:2
09-02 17:55:34:551    encoder1_count:2
09-02 17:55:34:559    encoder1_count:2
09-02 17:55:34:575    encoder1_count:2
09-02 17:55:34:577    encoder1_count:2
09-02 17:55:34:591    encoder1_count:2
09-02 17:55:34:608    encoder1_count:2
09-02 17:55:34:610    encoder1_count:2
09-02 17:55:34:624    encoder1_count:2
09-02 17:55:34:639    encoder1_count:2
09-02 17:55:34:641    encoder1_count:2
09-02 17:55:34:655    encoder1_count:2
09-02 17:55:34:671    encoder1_count:2
09-02 17:55:34:674    encoder1_count:2
09-02 17:55:34:688    encoder1_count:2
09-02 17:55:34:703    encoder1_count:2
